latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,23.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),weather_code (wmo code),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%)
2023-01-05T00:00,10.2,82,0.00,3,20.9,249,100
2023-01-05T01:00,9.9,83,0.00,3,21.6,252,100
2023-01-05T02:00,9.7,85,0.00,3,19.5,254,100
2023-01-05T03:00,9.5,86,0.00,3,18.8,253,100
2023-01-05T04:00,9.2,89,0.00,3,16.7,251,93
2023-01-05T05:00,8.9,90,0.00,3,15.9,252,100
2023-01-05T06:00,9.1,89,0.00,3,15.0,246,100
2023-01-05T07:00,8.5,93,0.00,3,13.0,231,100
2023-01-05T08:00,7.8,95,0.00,3,10.4,224,100
2023-01-05T09:00,9.5,90,0.00,3,12.6,217,100
2023-01-05T10:00,10.6,90,0.00,3,15.9,219,100
2023-01-05T11:00,12.2,89,0.00,3,19.2,232,100
2023-01-05T12:00,12.3,86,0.10,51,18.3,234,100
2023-01-05T13:00,12.9,83,0.00,3,21.8,232,100
2023-01-05T14:00,12.6,86,0.00,3,20.1,227,100
2023-01-05T15:00,12.1,85,0.00,3,20.1,223,99
2023-01-05T16:00,11.3,88,0.00,3,21.9,221,100
2023-01-05T17:00,11.2,86,0.00,3,24.9,225,100
2023-01-05T18:00,10.2,90,0.00,3,25.0,223,100
2023-01-05T19:00,10.1,91,0.00,3,24.5,220,100
2023-01-05T20:00,11.0,86,0.00,3,27.7,218,100
2023-01-05T21:00,11.1,85,0.00,3,28.9,213,100
2023-01-05T22:00,11.2,83,0.00,3,28.4,210,100
2023-01-05T23:00,11.3,83,0.00,3,31.5,211,100
