latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,23.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),weather_code (wmo code),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%)
2024-01-05T00:00,4.4,96,0.60,53,27.2,334,100
2024-01-05T01:00,5.9,91,0.30,51,32.1,330,100
2024-01-05T02:00,5.4,89,0.20,51,33.7,319,100
2024-01-05T03:00,5.3,89,0.40,51,31.4,311,100
2024-01-05T04:00,5.6,90,0.20,51,26.7,302,100
2024-01-05T05:00,5.6,92,0.20,51,23.5,295,100
2024-01-05T06:00,5.7,91,0.10,51,21.8,292,100
2024-01-05T07:00,5.5,90,0.00,3,20.4,291,100
2024-01-05T08:00,5.3,90,0.00,3,19.1,290,100
2024-01-05T09:00,5.1,91,0.00,3,19.6,287,100
2024-01-05T10:00,5.2,91,0.00,3,19.5,289,100
2024-01-05T11:00,5.7,88,0.00,3,21.3,296,100
2024-01-05T12:00,6.4,85,0.00,3,20.6,299,100
2024-01-05T13:00,6.8,82,0.00,3,21.2,310,100
2024-01-05T14:00,7.1,80,0.00,3,20.4,316,100
2024-01-05T15:00,6.8,81,0.00,2,14.0,312,79
2024-01-05T16:00,6.1,85,0.00,3,10.5,311,100
2024-01-05T17:00,6.2,84,0.00,3,10.7,312,100
2024-01-05T18:00,6.4,82,0.00,3,11.6,306,100
2024-01-05T19:00,6.4,83,0.00,3,12.2,304,100
2024-01-05T20:00,5.8,87,0.00,3,12.0,314,99
2024-01-05T21:00,5.1,91,0.00,2,9.4,310,50
2024-01-05T22:00,4.5,92,0.00,3,8.4,313,100
2024-01-05T23:00,4.7,90,0.10,51,8.5,324,100
2024-01-06T00:00,4.2,93,0.00,1,7.4,313,38
2024-01-06T01:00,5.0,91,0.00,3,8.4,313,99
2024-01-06T02:00,4.8,92,0.00,3,8.2,319,100
2024-01-06T03:00,4.4,94,0.00,3,8.5,324,98
2024-01-06T04:00,4.2,94,0.00,3,8.1,328,100
2024-01-06T05:00,4.2,94,0.00,3,7.4,337,100
2024-01-06T06:00,4.5,91,0.00,3,7.4,337,84
2024-01-06T07:00,3.8,93,0.00,3,8.6,338,100
2024-01-06T08:00,4.0,92,0.00,3,8.9,339,100
2024-01-06T09:00,4.8,87,0.00,3,11.2,327,100
2024-01-06T10:00,5.2,85,0.00,2,12.0,316,79
2024-01-06T11:00,5.9,83,0.00,3,13.1,339,93
2024-01-06T12:00,6.4,79,0.00,3,15.9,355,100
2024-01-06T13:00,6.3,79,0.10,51,16.6,358,98
2024-01-06T14:00,6.4,78,0.00,3,15.5,3,100
2024-01-06T15:00,6.1,77,0.00,2,14.8,360,79
2024-01-06T16:00,4.9,84,0.00,0,10.7,346,12
2024-01-06T17:00,4.4,86,0.00,3,9.7,338,100
2024-01-06T18:00,4.6,84,0.00,3,10.8,334,100
2024-01-06T19:00,4.5,84,0.00,3,12.3,339,84
2024-01-06T20:00,3.8,90,0.00,3,11.2,339,100
2024-01-06T21:00,4.1,90,0.00,3,13.8,354,100
2024-01-06T22:00,4.1,90,0.00,3,12.2,2,100
2024-01-06T23:00,3.8,90,0.00,3,10.1,2,100
2024-01-07T00:00,4.0,86,0.00,3,11.9,3,100
2024-01-07T01:00,4.0,79,0.00,2,14.7,11,67
2024-01-07T02:00,2.9,81,0.00,0,14.5,6,8
2024-01-07T03:00,2.8,76,0.00,0,15.8,1,11
2024-01-07T04:00,2.3,76,0.00,0,15.5,355,2
2024-01-07T05:00,1.8,76,0.00,0,16.0,352,3
2024-01-07T06:00,1.7,78,0.00,0,16.2,3,8
2024-01-07T07:00,1.7,80,0.00,0,16.3,6,7
2024-01-07T08:00,1.5,83,0.00,0,15.9,4,6
2024-01-07T09:00,1.8,84,0.00,0,16.9,11,4
2024-01-07T10:00,3.3,78,0.00,1,20.0,23,21
2024-01-07T11:00,4.1,71,0.00,0,19.3,27,14
2024-01-07T12:00,4.5,60,0.00,0,22.1,26,18
2024-01-07T13:00,4.7,65,0.00,0,22.2,20,15
2024-01-07T14:00,4.4,67,0.00,0,22.0,18,13
2024-01-07T15:00,3.9,68,0.00,1,19.8,19,33
2024-01-07T16:00,3.2,67,0.00,3,18.6,18,100
2024-01-07T17:00,3.5,67,0.00,3,19.9,20,100
2024-01-07T18:00,3.6,69,0.00,3,20.9,27,100
2024-01-07T19:00,3.4,74,0.00,2,18.3,36,77
2024-01-07T20:00,3.1,76,0.00,3,17.1,30,97
2024-01-07T21:00,3.1,76,0.00,3,19.8,29,100
2024-01-07T22:00,2.9,74,0.00,3,19.2,34,100
2024-01-07T23:00,3.1,72,0.00,3,18.1,41,94
